Training started
Start training for sts dataset
Epoch 0:: lr :: 0.001000 train loss :: 0.07414, dev acc :: -0.021
Epoch 1:: lr :: 0.001000 train loss :: 0.07467, dev acc :: nan
Epoch 2:: lr :: 0.001000 train loss :: 0.07447, dev acc :: nan
Epoch 3:: lr :: 0.001000 train loss :: 0.07450, dev acc :: 0.021
Epoch 4:: lr :: 0.001000 train loss :: 0.07452, dev acc :: 0.021
Epoch 5:: lr :: 0.001000 train loss :: 0.07454, dev acc :: -0.020
Epoch 6:: lr :: 0.000100 train loss :: 0.07459, dev acc :: -0.020
Epoch 7:: lr :: 0.000100 train loss :: 0.07454, dev acc :: -0.011
Epoch 8:: lr :: 0.000100 train loss :: 0.07457, dev acc :: -0.011
Epoch 9:: lr :: 0.000100 train loss :: 0.07465, dev acc :: -0.011
Epoch 10:: lr :: 0.000100 train loss :: 0.07462, dev acc :: -0.011
Epoch 11:: lr :: 0.000100 train loss :: 0.07465, dev acc :: -0.011
Epoch 12:: lr :: 0.000010 train loss :: 0.07462, dev acc :: -0.011
Epoch 13:: lr :: 0.000010 train loss :: 0.07464, dev acc :: -0.011
Epoch 14:: lr :: 0.000010 train loss :: 0.07462, dev acc :: -0.011
